date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:22	3007/3007	---M--	200	added ('OK')	image/png	etag:%2261f0dbfd-bbf%22	https://technext.github.io/makan/img/icon-condominium.png	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/icon-condominium.png	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:22	3299/3299	---M--	200	added ('OK')	image/png	etag:%2261f0dbfd-ce3%22	https://technext.github.io/makan/img/icon-luxury.png	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/icon-luxury.png	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:23	102293/102293	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfc-18f95%22	https://technext.github.io/makan/img/about.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/about.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:23	32364/32364	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-7e6c%22	https://technext.github.io/makan/img/property-1.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/property-1.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:23	23004/23004	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-59dc%22	https://technext.github.io/makan/img/property-2.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/property-2.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:23	27647/27647	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-6bff%22	https://technext.github.io/makan/img/property-3.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/property-3.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:23	24481/24481	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-5fa1%22	https://technext.github.io/makan/img/property-4.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/property-4.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:24	31052/31052	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-794c%22	https://technext.github.io/makan/img/property-5.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/property-5.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:24	20562/20562	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-5052%22	https://technext.github.io/makan/img/property-6.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/property-6.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:24	25769/25769	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfc-64a9%22	https://technext.github.io/makan/img/call-to-action.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/call-to-action.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:24	11262/11262	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-2bfe%22	https://technext.github.io/makan/img/team-1.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/team-1.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:25	8294/8294	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-2066%22	https://technext.github.io/makan/img/team-2.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/team-2.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:25	8410/8410	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-20da%22	https://technext.github.io/makan/img/team-3.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/team-3.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:25	7684/7684	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-1e04%22	https://technext.github.io/makan/img/team-4.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/team-4.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:25	3451/3451	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-d7b%22	https://technext.github.io/makan/img/testimonial-1.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/testimonial-1.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:26	3517/3517	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-dbd%22	https://technext.github.io/makan/img/testimonial-2.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/testimonial-2.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:26	3066/3066	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-bfa%22	https://technext.github.io/makan/img/testimonial-3.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/testimonial-3.jpg	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:27	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/Users/DEV/Downloads/sample/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:27	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/Users/DEV/Downloads/sample/code.jquery.com/jquery-3.4.1.min.js	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:27	8156/8156	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261f0dbfd-1fdc%22	https://technext.github.io/makan/lib/wow/wow.min.js	C:/Users/DEV/Downloads/sample/technext.github.io/makan/lib/wow/wow.min.js	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:27	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261f0dbfd-8fe%22	https://technext.github.io/makan/lib/easing/easing.min.js	C:/Users/DEV/Downloads/sample/technext.github.io/makan/lib/easing/easing.min.js	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:28	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261f0dbfd-2344%22	https://technext.github.io/makan/lib/waypoints/waypoints.min.js	C:/Users/DEV/Downloads/sample/technext.github.io/makan/lib/waypoints/waypoints.min.js	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:28	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261f0dbfd-a70e%22	https://technext.github.io/makan/lib/owlcarousel/owl.carousel.min.js	C:/Users/DEV/Downloads/sample/technext.github.io/makan/lib/owlcarousel/owl.carousel.min.js	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:28	1773/1773	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261f0dbfd-6ed%22	https://technext.github.io/makan/js/main.js	C:/Users/DEV/Downloads/sample/technext.github.io/makan/js/main.js	(from https://technext.github.io/makan/?_ga=2.20206266.321567836.1666353710-145764217.1666353710)
17:43:28	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/DEV/Downloads/sample/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
17:43:29	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/DEV/Downloads/sample/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
17:43:29	4976/4976	---M--	200	added ('OK')	image/png	etag:%2261f0dbfd-1370%22	https://technext.github.io/makan/lib/owlcarousel/assets/owl.video.play.png	C:/Users/DEV/Downloads/sample/technext.github.io/makan/lib/owlcarousel/assets/owl.video.play.png	(from https://technext.github.io/makan/lib/owlcarousel/assets/owl.carousel.min.css)
17:43:30	78256/78256	---M--	200	added ('OK')	image/jpeg	etag:%2261f0dbfd-131b0%22	https://technext.github.io/makan/img/header.jpg	C:/Users/DEV/Downloads/sample/technext.github.io/makan/img/header.jpg	(from https://technext.github.io/makan/about.html)
17:43:30	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
